Name,Addresse,Fallzahl 5-646.0,Fallzahl 5-646.1,Bettenanzahl,Stationäre Fälle insgesamt,Fahllzahl_genital_ops
Städtisches Klinikum Dresden - Standort Neustadt/Trachau,Industriestr. 40 01129 Dresden,Datenschutz,0,336,13411,1
Universitätsklinikum Leipzig AöR,Liebigstr. 20 04103 Leipzig,20,33,1451,54810,53
"Charité-Universitätsmedizin Berlin, Campus Charité Mitte",Charitéplatz 1 10117 Berlin,Datenschutz,Datenschutz,3011,130282,1
Sana Klinikum Lichtenberg Oskar-Ziethen Krankenhaus,Fanninger Str. 32 10365 Berlin,19,8,672,28524,27
Evangelische Elisabeth Klinik,Lützowstr. 24-26 10785 Berlin,385,11,145,7430,396
BG Klinikum Unfallkrankenhaus Berlin gGmbH,Warener Str. 7 12683 Berlin,Datenschutz,0,588,22760,1
DRK Kliniken Berlin Westend,Spandauer Damm 130 14050 Berlin,Datenschutz,0,590,25996,1
HELIOS Klinikum Emil von Behring,Walterhöferstr. 11 14165 Berlin,170,8,507,20536,178
Martin-Luther-Krankenhaus,Caspar-Theyss-Str. 27 14193 Berlin,Datenschutz,0,275,16095,1
Universitätsklinikum Hamburg-Eppendorf,Martinistr. 52 20246 Hamburg,36,143,1741,77457,179
Klinikum Itzehoe,Robert-Koch-Str. 2 25524 Itzehoe,11,16,601,31658,27
Universitätsklinikum Magdeburg,Leipziger Str. 44 39120 Magdeburg,Datenschutz,13,842,32289,13
St. Rochus-Hospital,Glückaufstr. 10 44575 Castrop-Rauxel,Datenschutz,0,204,8696,1
Berufsgenossenschaftliche Kliniken Bergmannsheil - Universitätsklinik -,Bürkle-de-la-Camp-Platz 1 44789 Bochum,Datenschutz,0,512,16610,1
Kliniken Essen-Mitte Ev. Huyssens-Stiftung,Henricistr. 92 45136 Essen,81,111,438,15070,192
Universitätsklinikum der Gesamthochschule Essen,Hufelandstr. 55 45147 Essen,Datenschutz,74,1161,51323,74
St. Marien-Hospital Borken,Am Boltenhof 7 46325 Borken,21,0,316,11264,21
Universitätsklinikum Münster,Albert-Schweitzer-Campus 1 48149 Münster,Datenschutz,0,1621,47208,1
Fachklinik Hornheide,Dorbaumstr. 300 48157 Münster,4,0,140,6313,4
Eduardus-Krankenhaus,Custodisstr. 3-17 50679 Köln,Datenschutz,0,212,8378,1
Klinikum St. Georg,Delitzscher Str. 141 04129 Leipzig,0,Datenschutz,842,28778,1
Vivantes Klinikum Am Urban,Dieffenbachstraße 1 10967 Berlin,0,Datenschutz,607,24345,1
Helios Marien Klinik,Grunewaldstraße 96 47053 Duisburg,0,5,374,6457,5
Alexianer Krefeld GmbH Krankenhaus Maria-Hilf Krefeld,Dießemer Bruch 81 47805 Krefeld,0,Datenschutz,575,15546,1
Klinikum Osnabrück GmbH,Am Finkenhügel 1 49076 Osnabrück,0,Datenschutz,735,32619,1
AGAPLESION MARKUS KRANKENHAUS,Wilhelm-Epstein-Straße 4 60431 Frankfurt am Main,0,44,635,20722,44
Universitätsklinikum Mannheim,Theodor-Kutzer-Ufer 1-3 68167 Mannheim,0,72,1352,44176,72
Universitätsklinikum Freiburg,Hugstetter Str. 49 79106 Freiburg,0,Datenschutz,1693,64106,1
Rotkreuzklinikum München,Nymphenburger Straße 163 80634 München,0,230,435,19677,230
Dr. Lubos Kliniken Pasing,Schmiedwegerl 2-6 81241 München,0,106,45,1236,106
